Time (ms),Potentiometer 0 (mm),Potentiometer 1 (mm),Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2)
0.0,5339,6274,-8.037334973144532,-0.7493851196289062,6.129156249999999
0.009,5361,6271,-8.252813122558594,-0.6655880615234374,6.217741711425781
0.017,5361,6276,-8.389282617187499,-0.6823474731445313,6.256048937988281
0.024,5361,6253,-8.578424548339843,-0.7254431030273437,6.198588098144531
0.032,5361,6277,-8.415618835449218,-0.8930372192382812,6.193799694824218
0.04,5365,6230,-8.24802471923828,-1.0007762939453124,6.0716954101562495
0.048,5342,6279,-7.991845141601562,-1.20667763671875,5.928043310546875
0.056,5361,6279,-7.7787611938476555,-1.3000515014648437,5.992686755371094
0.114,5362,6237,-7.8912886718749995,-1.3359645263671873,5.801150622558594
0.122,5344,6278,-7.941566906738281,-1.2569558715820313,5.947196923828125
0.13,5363,6223,-8.030152368164062,-1.2473790649414063,5.839457849121094
0.138,5324,6277,-8.116343627929687,-1.189918225097656,5.935225915527344
0.146,5361,6199,-8.164227661132813,-1.177947216796875,5.963956335449218
0.153,5363,6219,-8.042123376464843,-1.1611878051757811,5.971138940429687
0.212,5323,6278,-8.157045056152343,-1.1516109985351561,5.942408520507812
0.22,5362,6198,-8.030152368164062,-1.0773907470703123,5.882553479003906
0.228,5316,6278,-8.070853796386718,-1.1228805786132812,5.863399865722656
0.236,5362,6193,-8.113949426269532,-1.1923124267578125,5.8610056640625
0.243,5292,6276,-8.090007409667969,-1.2042834350585936,5.829881042480468
0.251,5304,6277,-7.943961108398437,-1.1324573852539062,5.781997009277344
0.31,5362,6196,-8.003816149902343,-1.0103531005859374,5.872976672363281
0.317,5289,6279,-7.996633544921875,-1.0295067138671874,5.748478186035156
0.325,5360,6216,-8.128314636230469,-0.9409212524414062,5.896918688964844
0.333,5291,6273,-8.257601525878906,-0.9744400756835937,5.889736083984375
0.341,5358,6235,-8.355763793945313,-1.0534487304687499,6.112396838378906
0.349,5308,6273,-8.319850769042969,-1.2018892333984375,5.949591125488281
0.357,5295,6268,-7.81467421875,-1.0319009155273438,5.760449194335937
0.415,5355,6233,-7.821856823730468,-0.9983820922851562,5.7700260009765625
0.423,5306,6270,-7.879317663574218,-0.9935936889648437,5.95677373046875
0.431,5355,6253,-8.02536396484375,-0.814028564453125,5.719747766113281
0.439,5327,6270,-8.054094384765625,-0.8403647827148437,5.908889697265625
0.446,5355,6264,-8.125920434570313,-0.97683427734375,6.021417175292968
0.454,5356,6255,-7.915230688476562,-0.9074024291992187,5.779602807617187
0.513,5325,6270,-7.668627917480468,-0.8643067993164062,5.774814404296874
0.521,5355,6265,-7.848193041992187,-0.9145850341796874,5.801150622558594
0.528,5344,6267,-7.867346655273437,-0.8858546142578124,5.815515832519531
0.536,5354,6270,-7.941566906738281,-0.9193734375,5.872976672363281
0.544,5354,6269,-8.037334973144532,-0.8930372192382812,5.846640454101562
0.552,5349,6269,-8.049305981445311,-0.9720458740234375,5.875370874023437
0.611,5355,6270,-8.001421948242188,-1.0510545288085937,5.9208607055664055
0.618,5351,6270,-7.9463553100585935,-0.9648632690429687,5.741295581054687
0.626,5354,6270,-7.931990100097655,-0.842758984375,5.772420202636718
0.634,5355,6265,-7.881711865234375,-0.9504980590820312,5.6766521362304685
0.642,5355,6271,-7.948749511718749,-0.9074024291992187,5.846640454101562
0.65,5355,6268,-7.989450939941406,-0.9959878906249999,5.829881042480468
0.708,5357,6264,-8.075642199707032,-0.8044517578125,5.820304235839844
0.716,5355,6270,-8.020575561523437,-0.9026140258789062,5.693411547851563
0.724,5356,6238,-7.9846625366210935,-0.9528922607421875,5.755660791015624
0.732,5345,6270,-7.953537915039062,-0.9026140258789062,5.6958057495117185
0.74,5356,6219,-8.046911779785155,-0.8595183959960937,5.691017346191406
0.747,5321,6270,-7.9846625366210935,-0.9959878906249999,5.760449194335937
0.755,5337,6270,-8.02536396484375,-0.8978256225585937,5.932831713867187
0.814,5357,6217,-8.046911779785155,-0.9457096557617187,5.947196923828125
0.822,5319,6271,-8.032546569824218,-0.9911994873046874,5.916072302246094
0.829,5356,6190,-8.022969763183593,-0.9433154541015625,5.892130285644531
0.837,5306,6269,-7.9846625366210935,-0.9169792358398436,5.868188269042968
0.845,5354,6185,-7.955932116699218,-0.9935936889648437,5.911283898925781
0.853,5361,6193,-8.008604553222655,-1.0678139404296874,5.990292553710937
0.911,5309,6277,-8.054094384765625,-0.9002198242187499,5.935225915527344
0.919,5362,6192,-7.939172705078125,-0.8954314208984374,5.966350537109375
0.927,5290,6277,-7.9272016967773435,-0.8882488159179687,5.947196923828125
0.935,5361,6214,-7.955932116699218,-0.7805097412109374,5.930437512207031
0.943,5291,6277,-7.943961108398437,-0.7876923461914062,6.114791040039062
0.95,5362,6232,-7.996633544921875,-0.7134720947265625,5.954379528808594
0.958,5362,6221,-7.675810522460937,-0.7589619262695312,6.169857678222656
1.017,5300,6276,-7.781155395507812,-0.7038952880859375,6.050147595214844
1.025,5361,6240,-7.862558251953125,-0.6512228515624999,6.042964990234375
1.032,5315,6277,-7.9272016967773435,-0.7398083129882812,6.131550451660156
1.04,5360,6265,-8.111555224609374,-0.8116343627929687,6.246472131347656
1.048,5333,6276,-8.087613208007811,-0.8547299926757812,6.291961962890625
1.056,5333,6276,-7.594407666015624,-0.7948749511718749,5.849034655761718
1.114,5360,6272,-7.671022119140624,-0.7709329345703124,5.8226984375
1.122,5348,6277,-7.702146740722656,-0.7541735229492187,5.865794067382812
1.13,5360,6277,-7.819462622070312,-0.7445967163085937,5.892130285644531
1.138,5356,6276,-7.953537915039062,-0.7565677246093749,6.062118603515625
1.146,5361,6278,-8.022969763183593,-0.9193734375,6.270414147949219
1.153,5360,6275,-7.721300354003906,-0.8930372192382812,5.973533142089844
1.212,5359,6275,-7.886500268554687,-0.7948749511718749,5.65031591796875
1.22,5361,6275,-7.9295958984374995,-1.0366893188476562,5.710170959472656
1.228,5361,6265,-8.020575561523437,-0.9504980590820312,5.616797094726562
1.235,5360,6277,-7.991845141601562,-1.0726023437499999,5.702988354492187
1.243,5361,6260,-8.027758166503906,-0.9433154541015625,5.7149593627929685
1.251,5360,6270,-8.104372619628906,-1.189918225097656,5.786785412597656
1.31,5361,6277,-8.085219006347655,-1.1468225952148436,5.796362219238281
1.317,5360,6245,-7.9846625366210935,-1.1228805786132812,5.815515832519531
1.325,5352,6278,-7.987056738281249,-1.0702081420898437,5.805939025878906
1.333,5362,6226,-8.010998754882811,-1.0582371337890624,5.779602807617187
1.341,5331,6279,-7.819462622070312,-0.948103857421875,5.616797094726562
1.349,5361,6209,-8.061276989746093,-0.852335791015625,5.7508723876953125
1.357,5360,6227,-8.044517578125,-1.0654197387695312,5.805939025878906
1.415,5322,6286,-8.080430603027343,-1.0342951171875,5.762843395996094
