Time (ms),Potentiometer 0 (mm),Potentiometer 1 (mm),Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2)
0.0,4174,6495,-8.104372619628906,-1.0438719238281249,2.4660277099609376
0.008,4256,6400,-9.78031378173828,-0.296881005859375,3.4931402221679684
0.016,4178,6492,-8.75320126953125,-0.8044517578125,2.0877438476562498
0.024,4260,6419,-8.135497241210937,-0.51714755859375,1.5777788940429687
0.032,4223,6492,-7.68059892578125,-0.055066638183593745,0.8499415893554687
0.039,4353,6458,-9.090783703613281,-0.16519991455078123,2.588131994628906
0.047,4418,6491,-9.866505041503906,-0.5698199951171875,4.141968872070312
0.055,5246,6488,-11.73398233642578,-2.442085693359375,3.3877953491210935
0.113,5315,6474,-12.196063256835936,-2.403778466796875,3.0645781249999997
0.121,5300,6489,-12.375628381347655,-2.8227637573242186,0.7422025146484375
0.129,5340,6487,-10.87925234375,-2.250549560546875,4.335899206542969
0.137,5359,6490,-10.058041174316406,-2.482787121582031,5.719747766113281
0.145,5395,6488,-8.142679846191406,-2.1116858642578125,5.925649108886718
0.153,5416,6489,-8.307879760742187,-1.3359645263671873,1.0869675537109373
0.211,5407,6489,-7.50821640625,-1.5801730957031248,4.7117888671875
0.219,5412,6490,-8.269572534179687,-3.402160559082031,3.105279553222656
0.227,5404,6486,-7.055712292480468,-1.5801730957031248,5.5545478515625
0.235,5416,6487,-6.471527087402343,-5.140350964355468,4.656722229003906
0.243,5424,6467,-8.901641772460938,-3.835511059570312,0.4740519287109375
0.25,5423,6498,-9.830592016601562,-2.8754361938476563,1.1827356201171875
0.258,5958,7041,-8.695740429687499,-2.020706201171875,3.4572271972656248
0.317,6297,7055,-8.757989672851561,0.852335791015625,2.2744915771484373
0.324,6700,7104,-8.28633194580078,3.105279553222656,2.7820623291015623
0.332,7137,7064,-8.875305554199219,2.4899697265625,2.770091320800781
0.34,7497,7189,-8.930372192382812,4.2521021484374995,2.7724855224609373
0.348,7882,7159,-10.601524951171875,3.986345764160156,4.376600634765625
0.356,9912,7715,-6.957550024414062,-1.1348515869140625,3.801992236328125
0.414,9822,7850,-6.9527616210937495,-1.9321207397460936,-0.10773907470703124
0.422,9915,7780,-8.985438830566405,-1.6424223388671875,0.18914193115234373
0.43,9788,7964,-7.996633544921875,-2.4157494750976563,5.035006091308594
0.437,9921,7910,-7.977479931640625,-1.599326708984375,6.368576416015625
0.445,9768,8072,-10.007762939453125,-0.5434837768554687,2.0925322509765625
0.453,9604,8293,-4.072537023925781,0.07422025146484375,-0.1149216796875
0.512,9515,8198,-2.913743420410156,-0.9983820922851562,0.41898529052734373
0.519,9078,8288,-2.942473840332031,-0.5770026000976562,1.4006079711914061
0.527,8843,8236,-4.359841223144531,-1.3192051147460937,0.062249243164062495
0.535,8363,8288,-6.5960255737304685,-1.8100164550781248,0.35194764404296874
0.543,8121,8271,-9.251195214843749,-2.6408044311523438,4.520252734375
0.551,7910,8263,-10.187328063964843,-0.8068459594726562,2.3822306518554686
0.609,7843,8290,-6.279990954589843,-2.6695348510742187,4.259284753417968
0.617,7848,8284,-3.5218706420898434,-1.024718310546875,3.361459130859375
0.625,7822,8293,-2.090138049316406,-0.1292868896484375,4.333505004882812
0.632,7823,8295,-2.47081611328125,1.5083470458984374,5.944802722167968
0.64,7783,8293,-4.948814831542968,1.8842367065429686,6.105214233398437
0.648,7766,8290,-6.691793640136718,0.07900865478515624,4.302380383300781
0.656,7709,8429,-7.864952453613281,-2.583343591308594,7.697358337402343
0.714,7714,8519,-7.0461354858398435,-4.76924970703125,8.9255837890625
0.722,7748,8608,-5.5832782714843745,-3.842693664550781,8.437166650390624
0.73,7780,8586,-4.671087438964843,-4.376600634765625,7.335833886718749
0.738,7767,8688,-3.6846763549804686,-5.149927770996094,2.5522189697265625
0.745,7813,8612,-3.1938650146484373,-3.8187516479492185,-0.17477672119140625
0.753,8378,8959,-5.240907434082031,-1.6807295654296874,7.261613635253906
0.812,8337,9047,-4.920084411621094,-1.4820108276367188,8.762778076171875
0.819,8400,8920,-5.228936425781249,-0.6177040283203125,4.352658618164062
0.827,8310,9053,-6.76122548828125,-3.019088293457031,2.2266075439453124
0.835,8410,8920,-7.551312036132812,-6.236895324707031,0.258573779296875
0.843,8265,9056,-4.704606262207031,-5.027823486328125,2.346317626953125
0.851,6977,9060,-7.467514978027343,-0.3591302490234375,15.521609362792967
0.909,7019,8960,-10.62307276611328,2.4947581298828125,13.795389965820311
0.917,6941,9079,-9.356540087890625,3.8857892944335934,13.721169714355469
0.925,7098,9054,-5.662286926269531,3.0741549316406247,12.145785021972655
0.933,7135,9181,-5.906495495605468,7.587225061035156,10.433930834960936
0.94,7370,9288,-4.261678955078125,6.059724401855468,9.79946739501953
0.948,7522,9484,-3.1459809814453124,5.753266589355468,13.594277026367187
0.956,8786,11126,-7.4579381713867186,-0.6248866333007812,11.37006368408203
1.014,9063,11222,-9.473855969238281,-3.5098996337890624,8.652644799804687
1.022,9177,11280,-8.497021691894531,-0.21308394775390624,2.272097375488281
1.03,9221,11289,-6.098031628417968,0.14604630126953125,-0.842758984375
1.038,9233,11281,-5.140350964355468,-0.5099649536132812,3.172317199707031
1.046,9256,11276,-3.3973721557617185,2.04943662109375,4.149151477050781
1.053,9235,10875,-13.115436694335937,0.6607996582031249,3.6391865234374996
1.112,9238,10841,-10.292672937011718,2.626439221191406,8.951920007324219
1.12,9250,10870,-8.667010009765624,0.6536170532226562,13.290213415527344
1.127,9354,10787,-10.007762939453125,1.2210428466796874,11.643002673339844
1.135,9473,10874,-11.109095703125,4.1946413085937495,8.832209924316405
