Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,17574,19520,-7.7763669921875,-0.4740519287109375,6.1818286865234375
0.06,17229,19896,-7.8529814453124995,-0.3447650390625,6.248866333007812
0.067,17574,19711,-7.809885815429687,-0.3112462158203125,6.277596752929687
0.075,17391,19894,-7.805097412109374,-0.21068974609375,6.306327172851562
0.083,17570,19880,-7.848193041992187,-0.1197100830078125,6.138733056640625
0.09,17552,19885,-7.848193041992187,-0.08140285644531249,5.023035083007812
0.098,17573,19895,-7.8912886718749995,-0.19632453613281248,6.196193896484375
0.106,17575,19718,-7.805097412109374,-0.16280571289062498,6.172251879882812
0.113,17441,19893,-7.862558251953125,-0.201112939453125,6.138733056640625
0.121,17573,19507,-7.800309008789062,-0.277727392578125,6.335057592773437
0.129,17240,19892,-7.862558251953125,-0.2537853759765625,6.234501123046875
0.136,17570,19652,-7.9104422851562495,-0.16280571289062498,6.248866333007812
0.144,17351,19890,-7.939172705078125,-0.143652099609375,6.172251879882812
0.152,17572,19855,-7.8338278320312495,-0.09576806640624999,6.2009822998046875
0.159,17542,19889,-7.915230688476562,-0.0430956298828125,6.057330200195312
0.167,17569,19890,-7.8912886718749995,-0.033518823242187495,7.326257080078125
0.175,17573,19733,-7.886500268554687,-0.028730419921875,6.138733056640625
0.182,17454,19887,-7.8721350585937495,0.047884033203124995,6.143521459960938
0.19,17573,19520,-7.790732202148437,0.0383072265625,6.2584431396484375
0.198,17256,19892,-7.79552060546875,0.21068974609375,6.248866333007812
0.256,17270,19876,-7.8912886718749995,-0.1580173095703125,6.301538769531249
0.264,17568,19614,-7.8529814453124995,-0.1867477294921875,6.339845996093749
0.271,17324,19877,-7.848193041992187,-0.201112939453125,6.344634399414062
0.279,17567,19835,-7.862558251953125,-0.1388636962890625,6.263231542968749
0.287,17523,19872,-7.838616235351562,-0.201112939453125,6.387730029296875
0.294,17566,19878,-7.934384301757812,-0.24899697265624998,6.277596752929687
0.302,17568,19760,-7.876923461914062,-0.1197100830078125,6.248866333007812
0.31,17475,19875,-7.857769848632812,-0.1197100830078125,6.296750366210937
0.317,17564,19540,-7.809885815429687,-0.181959326171875,6.301538769531249
0.325,17282,19872,-7.829039428710937,-0.21068974609375,6.320692382812499
0.333,17564,19606,-7.81467421875,-0.26815058593749996,6.382941625976562
0.34,17328,19885,-7.805097412109374,-0.28730419921875,6.387730029296875
0.348,17570,19838,-7.876923461914062,-0.28730419921875,6.4356140625
0.356,17529,19884,-7.762001782226562,-0.27293898925781246,6.459556079101562
0.363,17572,19890,-7.843404638671874,-0.22505495605468748,6.382941625976562
0.371,17577,19785,-7.843404638671874,-0.143652099609375,6.335057592773437
0.379,17498,19885,-7.967903124999999,-0.16759411621093748,6.268019946289062
0.386,17576,19556,-7.862558251953125,-0.143652099609375,6.263231542968749
0.394,17297,19887,-7.857769848632812,-0.1149216796875,6.229712719726562
0.402,17575,19612,-7.68059892578125,-0.105344873046875,6.2392895263671875
0.409,17317,19885,-7.79552060546875,-0.047884033203124995,6.268019946289062
0.468,17237,19879,-7.915230688476562,0.39264907226562495,6.272808349609375
0.476,17575,19717,-7.987056738281249,0.373495458984375,6.315903979492187
0.483,17414,19880,-7.915230688476562,0.5027823486328125,6.344634399414062
0.491,17572,19880,-7.8912886718749995,0.5410895751953124,6.320692382812499
0.499,17586,19899,-7.876923461914062,0.6751648681640625,6.272808349609375
0.506,17595,19901,-7.862558251953125,0.7948749511718749,6.1818286865234375
0.514,17597,19702,-7.819462622070312,0.8571241943359375,6.114791040039062
0.522,17429,19901,-7.75721337890625,0.82360537109375,6.119579443359375
0.529,17596,19513,-7.824251025390624,0.7709329345703124,6.210559106445312
0.537,17258,19899,-7.771578588867187,0.6847416748046875,6.124367846679687
0.545,17592,19699,-7.800309008789062,0.603338818359375,6.205770703124999
0.552,17411,19899,-7.857769848632812,0.584185205078125,6.215347509765625
0.56,17596,19882,-7.848193041992187,0.584185205078125,6.191405493164062
0.567,17577,19896,-7.896077075195312,0.5889736083984375,6.205770703124999
0.575,17593,19897,-7.8912886718749995,0.5219359619140624,6.2009822998046875
0.583,17597,19701,-7.896077075195312,0.5363011718749999,6.244077929687499
0.59,17436,19900,-7.8529814453124995,0.584185205078125,6.196193896484375
