Time (ms), Potentiometer 0 (mm), Potentiometer 1 (mm), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2)
0.051,18890,21364,-7.096413720703125,0.47884033203125,3.897760302734375
0.059,18900,21217,-9.490615380859374,0.45968671875,3.0837317382812497
0.067,18817,21318,-10.855310327148437,0.22026655273437498,1.39821376953125
0.075,18902,20468,-11.573570825195311,-0.01915361328125,0.33518823242187495
0.083,18163,21301,-10.386046801757812,-0.43574470214843747,1.2593500732421874
0.09,18868,20399,-9.423577734375,1.197100830078125,2.0350714111328125
0.098,18023,21272,-8.595183959960938,-1.0007762939453124,1.8531120849609375
0.106,18815,21064,-9.490615380859374,-2.916137622070312,1.9632453613281249
0.113,18618,21271,-8.049305981445311,-3.2130186279296873,4.7884033203125
0.121,18792,21260,-7.618349682617187,-2.9496564453125,2.8730419921875
0.129,18802,20866,-8.930372192382812,-2.6001030029296874,3.0310593017578125
0.136,18549,21049,-8.681375219726561,-2.231395947265625,3.801992236328125
0.144,18796,19860,-7.6470801025390625,-2.2840683837890623,3.189076611328125
0.152,17901,20735,-8.518569506835936,0.0718260498046875,0.852335791015625
0.159,18794,19907,-8.475473876953124,0.9241618408203125,1.9728221679687499
0.167,18125,20500,-10.046070166015625,0.33518823242187495,3.447650390625
0.175,18777,20316,-10.965443603515624,2.408566870117187,5.453991381835937
0.182,18695,20272,-9.605537060546874,0.4644751220703125,4.390965844726562
0.19,18759,20169,-9.816226806640625,-0.8092401611328125,6.019022973632812
0.198,18764,19525,-11.238382592773437,-2.068590234375,5.928043310546875
0.205,18261,19931,-11.391611499023437,-2.7629087158203123,3.303998291015625
0.213,18665,18822,-11.444283935546874,-2.2170307373046874,4.1946413085937495
0.221,17663,19801,-8.657433203124999,-1.9105729248046874,5.023035083007812
0.228,18626,19342,-7.015010864257812,-0.9193734375,5.295974072265625
0.236,18207,19754,-6.87614716796875,-0.7134720947265625,0.9193734375
0.244,18631,19770,-6.804321118164062,-2.3415292236328122,-1.7525556152343749
0.251,18634,19721,-7.019799267578125,-2.2649147705078123,-1.2018892333984375
0.259,18591,19789,-7.335833886718749,-2.2026655273437497,0.7134720947265625
0.267,18623,19147,-6.421248852539062,-1.675941162109375,3.1938650146484373
0.274,17992,19840,-6.301538769531249,-2.4564509033203126,7.50821640625
0.282,18609,18945,-11.860875024414062,-0.833182177734375,11.142614526367186
0.29,17752,19775,-14.259865087890624,-1.9967641845703124,7.723694555664062
0.297,18592,19426,-14.245499877929687,-2.1691467041015624,6.665457421875
0.305,18388,19495,-11.717222924804688,-1.4796166259765624,7.091625317382812
0.313,18568,19406,-9.208099584960937,-2.9975404785156248,7.029376074218749
0.32,18525,18990,-9.442731347656249,-1.8052280517578123,8.226476904296874
0.328,18201,19164,-8.662221606445312,-4.199429711914062,9.160215551757812
0.336,18406,18171,-8.317456567382813,-3.0837317382812497,7.5465236328125
0.343,17481,19098,-6.598419775390624,-4.0222587890625,5.224148022460938
0.351,18350,18468,-5.865794067382812,-3.9552211425781247,4.754884497070313
0.359,17692,19084,-3.5003228271484375,-3.1076737548828124,3.897760302734375
0.417,17447,19146,-3.1172505615234374,-2.2457611572265623,2.1978771240234374
0.425,18114,19160,-4.228160131835938,-0.5410895751953124,1.9728221679687499
0.433,18027,19393,-8.154650854492187,-3.447650390625,2.442085693359375
0.44,18110,19544,-8.437166650390624,-0.3447650390625,8.657433203124999
0.448,18114,19180,-10.17056865234375,-2.1691467041015624,9.270348828125
0.456,17724,19630,-15.0164328125,-0.16280571289062498,5.722141967773437
0.463,18110,18623,-13.172897534179686,-0.2825157958984375,2.6001030029296874
0.471,17177,19651,-11.042058056640624,-1.1348515869140625,4.328716601562499
0.479,18107,19230,-9.610325463867188,-4.582501977539062,7.881711865234375
0.486,17704,19662,-5.72693037109375,-1.484405029296875,7.45075556640625
0.494,18137,19674,-3.6248213134765623,0.9002198242187499,5.090072729492187
0.502,18197,19657,-3.878606689453125,0.6512228515624999,3.447650390625
0.509,18221,19758,-4.8123453369140625,1.0103531005859374,0.8283937744140625
0.517,18261,19220,-4.721365673828124,2.6527754394531247,0.4740519287109375
0.525,17658,20075,-3.4763808105468748,-1.675941162109375,2.2840683837890623
0.532,18262,19343,-4.620809204101562,0.4740519287109375,7.350199096679687
0.54,17434,20265,-5.540182641601562,3.883395092773437,7.0102224609374995
0.548,18177,20088,-8.738836059570312,0.7326257080078125,8.657433203124999
0.555,17944,20182,-12.885593334960937,7.168239770507812,14.255076684570312
0.563,18066,19929,-11.563994018554688,4.434061474609375,13.905523242187499
0.571,18057,19239,-8.25520732421875,2.221819140625,10.467449658203124
0.578,17788,19129,-7.920019091796875,2.0542250244140625,9.466673364257812
0.586,18035,17933,-7.072471704101562,1.5945383056640625,7.637503295898437
0.594,17139,18686,-1.8722656982421875,-1.0486603271484374,10.204087475585936
0.601,17938,18043,-9.821015209960937,1.3120225097656248,7.675810522460937
0.609,17258,18611,-4.639962817382812,1.4604630126953124,3.840299462890625
0.617,17779,18563,-1.3311761230468748,5.046977099609375,5.434837768554687
0.624,17721,18665,-0.2920926025390625,5.482721801757812,2.446874096679687
0.632,17736,18822,-1.7238251953125,3.0980969482421874,2.231395947265625
0.64,17655,18443,-5.248090039062499,3.4332851806640625,3.6008792968749996
0.647,16983,19136,-10.429142431640624,4.2137949218749995,3.423708374023437
0.655,17274,18316,-9.586383447265625,3.5003228271484375,4.3622354248046875
0.663,16272,19454,-6.019022973632812,3.845087866210937,6.6271501953125
0.67,17110,19215,-6.584054565429687,3.289633081054687,6.330269189453125
0.678,16807,19553,-7.086836914062499,2.518700146484375,7.862558251953125
0.686,17057,19551,-8.231265307617187,0.7517793212890624,8.547299926757812
0.693,17034,19363,-7.790732202148437,-0.9050082275390624,10.539275708007812
0.701,16945,19365,-6.9527616210937495,0.8044517578125,8.968679418945312
0.709,17019,18525,-10.199299072265624,1.139639990234375,4.659116430664063
0.716,16305,19299,-8.307879760742187,-2.748543505859375,6.224924316406249
0.724,16893,18535,-10.467449658203124,0.21068974609375,13.958195678710936
0.732,15986,19144,-13.426682910156249,-4.592078784179687,15.547945581054687
0.739,16213,18727,-14.987702392578123,-6.344634399414062,14.250288281249999
0.747,15754,18612,-12.330138549804687,-6.076483813476562,10.836156713867187
0.755,15694,18592,-5.1140147460937495,0.5458779785156249,6.7803791015625
0.762,15634,18213,-3.4620156005859375,-4.515464331054687,5.6215854980468745
0.77,15182,18607,-3.9887399658203124,-5.798756420898437,5.61200869140625
0.778,15258,17674,-7.445967163085937,-5.999869360351562,4.6639048339843745
0.785,14227,18720,-5.7843912109375,-2.7629087158203123,4.678270043945313
0.793,14814,18394,-1.4796166259765624,-3.308786694335937,1.9584569580078124
0.801,14350,19170,0.584185205078125,-3.1842882080078123,2.5665841796874997
0.808,14740,19321,-0.01915361328125,-0.01915361328125,7.6279264892578125
0.816,14701,19305,-6.7085530517578125,-1.9967641845703124,13.354856860351562
0.824,14669,19140,-10.524910498046875,-3.1842882080078123,13.666103076171874
0.831,14637,18305,-15.777788940429687,-2.24097275390625,11.8369330078125
0.839,14154,18689,-13.833697192382811,-0.7900865478515624,10.965443603515624
0.847,14580,17666,-13.206416357421874,6.210559106445312,12.746729638671875
0.854,13878,18563,-1.944091748046875,-1.5753846923828123,3.7301661865234372
0.862,14685,18329,0.2537853759765625,3.7014357666015623,6.028599780273437
0.87,14625,18830,-0.11013327636718749,4.1946413085937495,3.706224169921875
0.877,15148,19189,-0.97683427734375,0.19153613281249998,-3.83072265625
0.885,15413,19403,-4.429273071289062,5.865794067382812,-1.2210428466796874
0.893,15478,19862,-7.182604980468749,2.327164013671875,1.9105729248046874
0.9,15659,19263,-9.911994873046874,1.9536685546875,-0.258573779296875
0.908,15071,20374,-10.261548315429687,4.027047192382812,-0.7613561279296874
0.916,15761,19920,-10.146626635742187,4.031835595703125,-2.863465185546875
0.923,15171,21031,-12.425906616210936,0.27293898925781246,-2.1116858642578125
0.931,15745,21234,-3.725377783203125,0.8571241943359375,8.183381274414062
0.989,15218,19746,-11.099518896484375,0.9002198242187499,5.7077767578125
0.997,15054,19617,-6.58884296875,-3.687070556640625,5.875370874023437
1.005,14969,19511,-4.065354418945312,-3.289633081054687,8.79150849609375
1.012,14931,18873,-5.061342309570312,0.9337386474609375,1.9009961181640624
1.02,14397,19592,-6.2009822998046875,0.15322890625,-0.612915625
1.028,14696,18902,-7.182604980468749,1.0965443603515623,-0.0143652099609375
1.035,13770,20165,-6.852205151367187,3.1842882080078123,7.924807495117187
1.043,14281,20057,-5.980715747070312,2.6719290527343746,13.584700219726562
1.051,13814,20385,-10.36210478515625,0.82360537109375,16.1273423828125
1.058,13709,20377,-9.193734375,1.9009961181640624,15.677232470703125
1.066,13456,20111,-10.606313354492187,1.3934253662109375,17.865532788085936
1.074,13248,20041,-8.79150849609375,-3.859453076171875,11.587936035156249
1.081,13336,18866,-10.812214697265624,-4.132392065429687,5.6024318847656245
1.089,12715,19488,-8.978256225585938,-2.9831752685546875,4.893748193359374
1.097,13254,18628,-6.732495068359374,-0.33039982910156246,4.8698061767578125
1.104,12705,19227,-8.307879760742187,-3.208230224609375,8.240842114257813
1.112,13184,19039,-9.370905297851563,-1.3168109130859373,8.580818749999999
1.12,13118,19142,-7.201758593749999,3.5194764404296874,4.472368701171875
1.127,13247,19334,-9.969455712890625,-0.4213794921875,-0.15322890625
